Identifier,Relevance,FullStatement,URI
0131d33e-bc4c-11e8-b850-0242ac120003,145,Calculate the packing volume of a complex rectangular prism by decomposing into simple rectangular prisms and adding the packing volumes of each together,http://frameworks.act.org/uri/0131d33e-bc4c-11e8-b850-0242ac120003
027e09b0-bc4c-11e8-b299-0242ac120003,145,"Understanding and manipulating linear equations using slopes, intercepts, and points, as well as transforming between various forms (e.g. point-slope, slope-intercept)",http://frameworks.act.org/uri/027e09b0-bc4c-11e8-b299-0242ac120003
026141b8-bc4c-11e8-95ce-0242ac120003,145,Solve and evaluate equations by comparing the expressions on the both sides of the equal sign; consistently apply a relational definition of the equal sign,http://frameworks.act.org/uri/026141b8-bc4c-11e8-95ce-0242ac120003
021b7c82-bc4c-11e8-a402-0242ac120003,144,"Flexibly move between representing three-digit quantities as a sequence of hundreds, tens, and ones, and as a collection of hundreds, tens, and ones",http://frameworks.act.org/uri/021b7c82-bc4c-11e8-a402-0242ac120003
0222b6a0-bc4c-11e8-8e04-0242ac120003,144,"Processes to perform operations with numbers, simplify expressions, and solve equations, and the relationships among operations, patterns, and functions",http://frameworks.act.org/uri/0222b6a0-bc4c-11e8-8e04-0242ac120003
02a7e514-bc4c-11e8-ba45-0242ac120003,143,Understand that the order of operations exists and serves to ensure that a string of operations is done in a certain order to arrive at a consistent answer,http://frameworks.act.org/uri/02a7e514-bc4c-11e8-ba45-0242ac120003
01974e1c-bc4c-11e8-925e-0242ac120003,143,"Understand that a ray is a two-dimensional object that begins at a specific end point, passes through another point, and goes on in one direction forever",http://frameworks.act.org/uri/01974e1c-bc4c-11e8-925e-0242ac120003
02619cd0-bc4c-11e8-bf77-0242ac120003,143,Solve open-equations presented in any format with operations on only one side of equal sign and multiple missing numbers represented with the same variable,http://frameworks.act.org/uri/02619cd0-bc4c-11e8-bf77-0242ac120003
0196cec4-bc4c-11e8-9df1-0242ac120003,142,"Understand that a line refers to a two-dimensional object that is straight, passes through two or more points, and goes on forever in either direction",http://frameworks.act.org/uri/0196cec4-bc4c-11e8-9df1-0242ac120003
0284ebc2-bc4c-11e8-be6b-0242ac120003,141,Applying the connection between and properties of multiplication and division to illustrate and carry out conceptual methods to solve problems within 100,http://frameworks.act.org/uri/0284ebc2-bc4c-11e8-be6b-0242ac120003
01315490-bc4c-11e8-90d5-0242ac120003,140,Describe the relationship between the packing volume for rectangular prisms formula V = l*w*h and the dimensions of a rectangular prism using language,http://frameworks.act.org/uri/01315490-bc4c-11e8-90d5-0242ac120003
01648f18-bc4c-11e8-8b68-0242ac120003,140,Measure the area of a rectangle with fractional side lengths by tiling and/or iterating the area with unit square of appropriate fractional side lengths,http://frameworks.act.org/uri/01648f18-bc4c-11e8-8b68-0242ac120003
016229ee-bc4c-11e8-90f9-0242ac120003,140,"Calculate the area of a rectilinear figure by decomposing the figure into rectangles and adding the areas of the rectangles, without iterating units",http://frameworks.act.org/uri/016229ee-bc4c-11e8-90f9-0242ac120003
023ae144-bc4c-11e8-adbf-0242ac120003,140,"Solve comparison problems within 20 where the greater amount is unknown and the problem uses the word ""more"" to suggest the addition operation",http://frameworks.act.org/uri/023ae144-bc4c-11e8-adbf-0242ac120003
020b1e5a-bc4c-11e8-b54d-0242ac120003,140,"Compare the magnitude of two three-digit numbers that have same numerals in the hundreds and tens places, and different numerals in the ones place",http://frameworks.act.org/uri/020b1e5a-bc4c-11e8-b54d-0242ac120003
014a2d58-bc4c-11e8-8c3e-0242ac120003,139,"Describe basic shapes (e.g., triangle, square, rectangle, circle) in terms of common objects (e.g., sandwich cut on the diagonal, face of a cube)",http://frameworks.act.org/uri/014a2d58-bc4c-11e8-8c3e-0242ac120003
014a6c1e-bc4c-11e8-a858-0242ac120003,139,"Understand that the orientation of a shape can vary without changing the type of shape (e.g., a triangle can have a horizontal base or a vertical base)",http://frameworks.act.org/uri/014a6c1e-bc4c-11e8-a858-0242ac120003
0243fac2-bc4c-11e8-b15f-0242ac120003,139,"Compose 10 by combining a number 1 - 9 with its number partner required to create a sum of 10, and represent the pairs with drawings or equations",http://frameworks.act.org/uri/0243fac2-bc4c-11e8-b15f-0242ac120003
02449a04-bc4c-11e8-97c7-0242ac120003,139,"Illustrate that if the same number is added and subtracted from an amount, the two operations undo"" each other and the original amount is left unchanged""",http://frameworks.act.org/uri/02449a04-bc4c-11e8-97c7-0242ac120003
01e62d16-bc4c-11e8-b8fd-0242ac120003,139,"Compare and write a numerical sentence that describes the relationship between a given fraction with benchmark fractions such as 0, 1/4, 1/2, and 1",http://frameworks.act.org/uri/01e62d16-bc4c-11e8-b8fd-0242ac120003
020d89ce-bc4c-11e8-b7cc-0242ac120003,138,"(MISCONCEPTION) Students concatenate each digit and its place value when writing numbers; for example, 642 is written ""600402"" or ""6042"" or the like",http://frameworks.act.org/uri/020d89ce-bc4c-11e8-b7cc-0242ac120003
0189b6c6-bc4c-11e8-93c5-0242ac120003,137,"Rearrange (e.g., physically, by drawing, or by using mental imagery) parts of a non-straight path and directly compare the rearranged whole paths",http://frameworks.act.org/uri/0189b6c6-bc4c-11e8-93c5-0242ac120003
025f862a-bc4c-11e8-a4d5-0242ac120003,137,Solve open-equations presented in nontraditional format with operations on the right side of equal sign and missing number represented with a box,http://frameworks.act.org/uri/025f862a-bc4c-11e8-a4d5-0242ac120003
02f0e214-bc4c-11e8-8e6a-0242ac120003,137,Understand that a random sample is a subset of a statistical population in which each member of the subset has an equal probability of being chosen,http://frameworks.act.org/uri/02f0e214-bc4c-11e8-8e6a-0242ac120003
01e9a70c-bc4c-11e8-8528-0242ac120003,137,Illustrate why two fractions are/are not equivalent by referencing the multiplicative relationship between the fractions' numerators and denominators,http://frameworks.act.org/uri/01e9a70c-bc4c-11e8-8528-0242ac120003
01968e0a-bc4c-11e8-84e4-0242ac120003,136,"Understand that a point refers to a precise location of place on a plane, usually represented with a dot (which has no size or shape of its own)",http://frameworks.act.org/uri/01968e0a-bc4c-11e8-84e4-0242ac120003
0242654a-bc4c-11e8-9309-0242ac120003,135,Understand that the commutative property of addition indicates that changing the order of numbers in an addition problem does not change the result,http://frameworks.act.org/uri/0242654a-bc4c-11e8-9309-0242ac120003
02602ce2-bc4c-11e8-8ad6-0242ac120003,134,"Solve, evaluate, and encode equations with an operation on both sides of the equal sign, and recognize the relational definition of the equal sign",http://frameworks.act.org/uri/02602ce2-bc4c-11e8-8ad6-0242ac120003
027d3ada-bc4c-11e8-95d3-0242ac120003,134,"Translate between different representations of linear relationships: graphs, equations, sets of ordered pairs, verbal descriptions, and tables",http://frameworks.act.org/uri/027d3ada-bc4c-11e8-95d3-0242ac120003
02441ac0-bc4c-11e8-a45e-0242ac120003,134,"Decompose numbers equal to or less than to 10 into number pairs in more than one way, and represent the pairs with drawings or equations",http://frameworks.act.org/uri/02441ac0-bc4c-11e8-a45e-0242ac120003
01a0f82c-bc4c-11e8-b1dc-0242ac120003,134,"(MISCONCEPTION) Students attribute ""straight"" to mean both ""no bend"" and ""not vertical"", thus resulting in orientation problems with straight angles",http://frameworks.act.org/uri/01a0f82c-bc4c-11e8-b1dc-0242ac120003
01e9c818-bc4c-11e8-82c2-0242ac120003,134,Understand that two fractions are equivalent if and only if their numerators and denominators are both increased or decreased by the same factor,http://frameworks.act.org/uri/01e9c818-bc4c-11e8-82c2-0242ac120003
01a6a150-bc4c-11e8-ba11-0242ac120003,134,"(MISCONCEPTION) Students attribute ""straight"" to mean both ""no bend"" and ""not vertical"", thus resulting in orientation problems with straight angles",http://frameworks.act.org/uri/01a6a150-bc4c-11e8-ba11-0242ac120003
01864fe0-bc4c-11e8-8827-0242ac120003,134,(MISCONCEPTION) Incorrectly draws relationships between x- and y-coordinates when interpreting the movement of a point on the coordinate plane,http://frameworks.act.org/uri/01864fe0-bc4c-11e8-8827-0242ac120003
02445a58-bc4c-11e8-a4c3-0242ac120003,134,"Decompose numbers equal to or less than to 20 into number pairs in more than one way, and represent the pairs with drawings or equations",http://frameworks.act.org/uri/02445a58-bc4c-11e8-a4c3-0242ac120003
01709dc6-bc4c-11e8-adca-0242ac120003,134,"(MISCONCEPTION) Students attribute ""straight"" to mean both ""no bend"" and ""not vertical"", thus resulting in orientation problems with straight angles",http://frameworks.act.org/uri/01709dc6-bc4c-11e8-adca-0242ac120003
028b2e24-bc4c-11e8-98db-0242ac120003,133,(STRATEGY) Determine the total given the number of shares and the size of a share in an multiplication problem using a repeated addition strategy,http://frameworks.act.org/uri/028b2e24-bc4c-11e8-98db-0242ac120003
0164af20-bc4c-11e8-9286-0242ac120003,133,Understand that tiling/iterating unit squares with fractional side lengths gives the same area as using the area formula with fractional side lengths,http://frameworks.act.org/uri/0164af20-bc4c-11e8-9286-0242ac120003
0134f2d0-bc4c-11e8-899b-0242ac120003,133,Investigate surface area as an attribute of 3-D figures and solve problems about surface area by reasoning about a figure's base(s) and faces,http://frameworks.act.org/uri/0134f2d0-bc4c-11e8-899b-0242ac120003
02e40b3e-bc4c-11e8-8a06-0242ac120003,132,"Create and understand picture charts, line plots, tally charts, bar graphs, circle graphs, and data tables, and use them to solve problems",http://frameworks.act.org/uri/02e40b3e-bc4c-11e8-8a06-0242ac120003
02454cb0-bc4c-11e8-83c7-0242ac120003,132,"Understanding the fundamental rules and strategies for approximating a computation; i.e., using strategies to estimate the result of a computation",http://frameworks.act.org/uri/02454cb0-bc4c-11e8-83c7-0242ac120003
023372c4-bc4c-11e8-b815-0242ac120003,132,Solve a variety of two-step word problems involving subtraction within 100 using drawings and equations with a symbol for the unknown number,http://frameworks.act.org/uri/023372c4-bc4c-11e8-b815-0242ac120003
01359bae-bc4c-11e8-bed6-0242ac120003,132,Understand that surface area is the total area of the surfaces of a solid figure; it is the combined area of all the sides of the figure,http://frameworks.act.org/uri/01359bae-bc4c-11e8-bed6-0242ac120003
02ac237c-bc4c-11e8-8754-0242ac120003,132,"Understanding numbers that may include negative, complex, irrational numbers, powers of numbers, or representations of them in vectors or matrices",http://frameworks.act.org/uri/02ac237c-bc4c-11e8-8754-0242ac120003
0255716c-bc4c-11e8-a054-0242ac120003,132,"Understand that a point (x,y) is a solution to a system of equations if these values of x and y satisfy all of the equations in the system",http://frameworks.act.org/uri/0255716c-bc4c-11e8-a054-0242ac120003
023352b2-bc4c-11e8-b8bf-0242ac120003,132,Solve a variety of one-step word problems involving subtraction within 100 using drawings and equations with a symbol for the unknown number,http://frameworks.act.org/uri/023352b2-bc4c-11e8-b8bf-0242ac120003
02653cb4-bc4c-11e8-82b2-0242ac120003,131,"(MISCONCEPTION) When calculating elapsed time, students count the difference between whole hours and then add the difference of the minutes",http://frameworks.act.org/uri/02653cb4-bc4c-11e8-82b2-0242ac120003
02644d68-bc4c-11e8-aa3e-0242ac120003,131,"(MISCONCEPTION) When calculating elapsed time, students count the difference between whole hours and then add the difference of the minutes",http://frameworks.act.org/uri/02644d68-bc4c-11e8-aa3e-0242ac120003
028ba7c8-bc4c-11e8-ad1a-0242ac120003,131,"Understand that a multiplicative comparison situation is one that answers, What factor would multiply one quantity to become the other?""""",http://frameworks.act.org/uri/028ba7c8-bc4c-11e8-ad1a-0242ac120003
012fbf54-bc4c-11e8-ae67-0242ac120003,131,"(MISCONCEPTION) Inaccurate placement of volume units. Little or no ability to organize, coordinate, and structure three-dimensional space",http://frameworks.act.org/uri/012fbf54-bc4c-11e8-ae67-0242ac120003
0130f3f6-bc4c-11e8-9136-0242ac120003,131,Understand that composite units are represented by a single layer of cubic units within the boundaries of a solid figure in a rectangular prism,http://frameworks.act.org/uri/0130f3f6-bc4c-11e8-9136-0242ac120003
01aa7d0c-bc4c-11e8-9818-0242ac120003,131,Understand that adjacent angles are a pair of angles having a common side and common vertex that lie on opposite sides of their common side,http://frameworks.act.org/uri/01aa7d0c-bc4c-11e8-9818-0242ac120003
02ff59fc-bc4c-11e8-b890-0242ac120003,131,Understand that events are considered independent if the occurrence of one event does not influence the occurrence of the other event,http://frameworks.act.org/uri/02ff59fc-bc4c-11e8-b890-0242ac120003
02fde98c-bc4c-11e8-b5d5-0242ac120003,131,Understand that the union of two events is the event that occurs if either or both events occur on a single performance of the experiment,http://frameworks.act.org/uri/02fde98c-bc4c-11e8-b5d5-0242ac120003
028a8db6-bc4c-11e8-9b41-0242ac120003,130,Solve an equation with a missing unknown whole number in a division problem using known multiplication facts and a dividend of less than 100,http://frameworks.act.org/uri/028a8db6-bc4c-11e8-9b41-0242ac120003
0242a438-bc4c-11e8-b9a6-0242ac120003,130,"Understand that if one number is larger than another, and the same number is added to each, the first sum will be larger than the second sum",http://frameworks.act.org/uri/0242a438-bc4c-11e8-b9a6-0242ac120003
0233125c-bc4c-11e8-9ab8-0242ac120003,129,Solve a variety of one-step word problems involving addition within 100 using drawings and equations with a symbol for the unknown number,http://frameworks.act.org/uri/0233125c-bc4c-11e8-9ab8-0242ac120003
0286219a-bc4c-11e8-b373-0242ac120003,129,"Understand that even numbers have a ones place digit of 0, 2, 4, 6, or 8, while odd numbers have a ones place digit of 1, 3, 5, 7, or 9",http://frameworks.act.org/uri/0286219a-bc4c-11e8-b373-0242ac120003
0133c4c8-bc4c-11e8-816f-0242ac120003,129,"Use formulas to solve problems about the packing volume of 3-D figures with rectangular, triangular, and circular bases and spheres",http://frameworks.act.org/uri/0133c4c8-bc4c-11e8-816f-0242ac120003
028b0e1c-bc4c-11e8-ae82-0242ac120003,129,(STRATEGY) Determine the total given the number of shares and the size of a share in an multiplication problem using a skip counting strategy,http://frameworks.act.org/uri/028b0e1c-bc4c-11e8-ae82-0242ac120003
01239968-bc4c-11e8-96af-0242ac120003,129,Understand that two measures with the same number of fluid units but different sized fluid units will result in different filling volumes,http://frameworks.act.org/uri/01239968-bc4c-11e8-96af-0242ac120003
017f7364-bc4c-11e8-b8ff-0242ac120003,129,"Understand that equal shares of a whole, such as a single shape iterated to make a composite unit shape, have the same amount of area",http://frameworks.act.org/uri/017f7364-bc4c-11e8-b8ff-0242ac120003
020afe70-bc4c-11e8-834f-0242ac120003,129,Compare the magnitude of two three-digit numbers that have same numerals in the hundreds place and different numerals in the tens place,http://frameworks.act.org/uri/020afe70-bc4c-11e8-834f-0242ac120003
023332aa-bc4c-11e8-bfdd-0242ac120003,129,Solve a variety of two-step word problems involving addition within 100 using drawings and equations with a symbol for the unknown number,http://frameworks.act.org/uri/023332aa-bc4c-11e8-bfdd-0242ac120003
02646e74-bc4c-11e8-ba14-0242ac120003,129,Calculate elapsed time with 15-minute intervals; find the starting time of an elapsed time problem and convert between days and whole years,http://frameworks.act.org/uri/02646e74-bc4c-11e8-ba14-0242ac120003
